,Height,Weight,40 Yard,Vertical,Broad Jump,3 Cone,Shuttle
QB,0.22088833,0.1077070572,0.1341388031,0.1072894058,0.1139509917,0.1829512178,0.1330741944
RB,0.01757103367,0.0686696427,0.1918372131,0.1744723031,0.1635083464,0.1866260278,0.1973154333
WR,0.09918593623,0.05111389458,0.1884044603,0.1760809999,0.1708843811,0.1652868013,0.1490433844
TE,0.197658758,0.1437652461,0.1168385694,0.1334201973,0.1013583207,0.152842644,0.1541162645
OL,0.3852318083,0.4338650112,0.02082805753,0.05695808592,0.03598056435,0.03069097965,0.03644549303
DL,0.2544486587,0.2988824901,0.08556503665,0.07515914221,0.1024272669,0.08750926331,0.09600814213
LB,0.1269245701,0.1153843607,0.1408716434,0.1302532247,0.145455165,0.1703112636,0.1707997726
CB,0.04089589542,0.03384580919,0.1881836087,0.172117758,0.1834959275,0.185796525,0.1956644761
S,0.05762179863,0.0494576278,0.1683298549,0.1628904096,0.1763442487,0.1974699288,0.1878861316
P,0.1226138281,0.07354753837,0.1285817062,0.1615139541,0.04605471969,0.2733738171,0.1943144365
LS,0.2432750967,0.1392123986,0.0850700243,0.03475780134,0.119967805,0.1821559381,0.195560936
ATH,0.1428571429,0.1428571429,0.1428571429,0.1428571429,0.1428571429,0.1428571429,0.1428571429